City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Kavaratti,IN,84.2,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
507,Maragogi,BR,82.15,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
510,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
512,Kanker,IN,79.97,clear sky,20.2719,81.4931,STARiHOTEL Kanker
517,Kupang,ID,78.66,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
521,Ilheus,BR,76.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
525,Ler,SS,88.09,clear sky,8.3018,30.1418,Leer Humanitarian Hub
527,Meulaboh,ID,78.66,overcast clouds,4.1363,96.1285,Kost Pria
536,Sabang,ID,83.01,broken clouds,5.8933,95.3214,Hotel Citra
542,Wajir,KE,89.56,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
543,Dores Do Indaia,BR,78.89,broken clouds,-19.4633,-45.6017,Hotel Central Dorense
548,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
549,Soyo,AO,78.76,scattered clouds,-6.1349,12.3689,Hotel Mpampa
550,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
554,Lorengau,PG,81.27,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
555,Porangatu,BR,84.38,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
556,Sorong,ID,82.04,clear sky,-0.8833,131.25,Waigo Splash Hotel
558,Pascagoula,US,83.32,overcast clouds,30.3658,-88.5561,Regency Inn
560,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
561,Nasirabad,IN,87.49,few clouds,26.3,74.7333,Hotel Sheesh Mahal & Restaurant
562,Sungairaya,ID,78.19,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
563,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
565,Luanda,AO,80.6,thunderstorm,-8.8368,13.2343,EPIC SANA Luanda
566,Vasai,IN,84.29,clear sky,19.47,72.8,Jivdani Kripa
567,Oussouye,SN,82.58,few clouds,12.485,-16.5469,Auberge du Routard
570,Benguela,AO,77.38,light rain,-12.5763,13.4055,Hotel Praia Morena
572,Tabou,CI,77.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
578,Vaitape,PF,81.52,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
580,Le Port,RE,77.0,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
583,Susangerd,IR,77.76,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
585,Owando,CG,77.52,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
586,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
588,Kailua,US,78.78,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
589,Nizwa,OM,85.48,clear sky,22.9333,57.5333,Orient Apartments
591,Bhuj,IN,77.9,few clouds,23.2667,69.6667,Regenta Resort Bhuj
592,Sanchor,IN,83.41,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
595,Carutapera,BR,82.78,moderate rain,-1.195,-46.02,Lidera
603,Turbat,PK,85.48,clear sky,26.0023,63.044,Mubashar Quarters
604,Ibra,OM,83.01,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
605,Guane,CU,88.56,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
606,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
611,Khetia,IN,86.11,clear sky,21.6667,74.5833,Mastana Hotel
616,Villarrica,PY,76.17,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
617,Sechura,PE,79.97,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
626,Panalingaan,PH,77.11,few clouds,8.7842,117.4231,I Love Panalingaan View Deck
633,Ugoofaaru,MV,84.42,overcast clouds,5.6667,73.0,Ungoofaaru Inn
636,Bucerias,MX,90.0,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
638,Bida,NG,85.82,light rain,9.0833,6.0167,Royal Suite
639,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
647,Sagua La Grande,CU,85.19,moderate rain,22.8067,-80.0756,Hotel Telégrafo
648,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
652,Daru,PG,78.82,overcast clouds,-9.0763,143.2092,Daru Lodge
654,Touros,BR,84.07,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
656,Pital,CO,77.13,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
658,Bilaspur,IN,83.26,clear sky,22.0833,82.15,Hotel East Park
662,Fare,PF,80.78,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
663,Palu,ID,76.03,broken clouds,-0.8917,119.8707,Hotel Santika Palu
664,Bargarh,IN,88.47,clear sky,21.3333,83.6167,HOTEL VD PALACE
669,Aquidauana,BR,85.6,clear sky,-20.4711,-55.7872,HOTEL ARARAS
670,Mogadishu,SO,83.23,overcast clouds,2.0371,45.3438,Hotel Juba
673,Vanimo,PG,77.88,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
679,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
680,Prado,BR,76.37,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
682,Karratha,AU,84.69,few clouds,-20.7377,116.8463,ibis Styles Karratha
687,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
690,Kieta,PG,78.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
693,Tucumcari,US,78.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
696,Houma,US,85.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
