City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Gat,IL,2022-04-16 04:12:17,31.61,34.7642,60.4,52,28,3.87
182,Ebeltoft,DK,2022-04-16 04:12:17,56.1944,10.6821,37.38,100,100,0.0
183,San Patricio,US,2022-04-16 04:12:17,28.017,-97.5169,75.07,93,69,10.29
184,Beyneu,KZ,2022-04-16 04:12:18,45.3167,55.2,54.57,43,96,5.12
185,Sao Jose Da Coroa Grande,BR,2022-04-16 04:12:18,-8.8978,-35.1478,79.34,86,60,8.28
186,Hay River,CA,2022-04-16 04:12:19,60.8156,-115.7999,16.09,94,100,10.0
187,Aloleng,PH,2022-04-16 04:12:19,16.1307,119.7824,83.64,65,52,10.92
188,Chimbote,PE,2022-04-16 04:12:19,-9.0853,-78.5783,64.9,91,75,8.43
189,Kieta,PG,2022-04-16 04:12:19,-6.2167,155.6333,83.64,73,90,3.62
190,Baruun-Urt,MN,2022-04-16 04:12:20,46.6806,113.2792,52.45,21,85,15.93
191,Aksu,CN,2022-04-16 04:12:20,41.1231,80.2644,59.04,12,82,19.46
192,Acapulco,MX,2022-04-16 04:08:56,16.8634,-99.8901,80.42,74,0,3.44
193,Megion,RU,2022-04-16 04:12:21,61.0296,76.1136,48.02,76,100,14.2
194,Bijar,IR,2022-04-16 04:12:21,35.8668,47.6051,45.41,50,87,3.22
195,Souillac,MU,2022-04-16 04:12:21,-20.5167,57.5167,75.58,83,75,16.11
196,Kodiak,US,2022-04-16 04:12:21,57.79,-152.4072,38.71,87,100,19.57
197,Margate,GB,2022-04-16 04:12:22,51.3813,1.3862,49.3,91,1,1.99
198,Xichang,CN,2022-04-16 04:12:22,27.8964,102.2634,60.15,70,98,0.74
199,College,US,2022-04-16 04:12:23,64.8569,-147.8028,30.52,42,75,14.97
200,Geraldton,AU,2022-04-16 04:12:23,-28.7667,114.6,77.41,69,40,16.11
201,Port Shepstone,ZA,2022-04-16 04:12:23,-30.7414,30.455,64.45,80,100,15.41
202,Half Moon Bay,US,2022-04-16 04:12:23,37.4636,-122.4286,58.03,72,0,6.91
