City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Mar Del Plata,AR,-38.0023,-57.5575,68.02,83,20,8.99,few clouds
215,Buchanan,LR,5.8808,-10.0467,78.66,81,100,4.68,light rain
216,Betong,TH,5.7743,101.0723,72.84,99,100,2.55,overcast clouds
217,Sevilla,ES,37.3824,-5.9761,82.99,37,0,8.05,clear sky
218,Noyabrsk,RU,63.1994,75.4507,10.33,95,61,4.88,broken clouds
219,Port Macquarie,AU,-31.4333,152.9167,57.88,92,16,4.23,few clouds
220,Bambous Virieux,MU,-20.3428,57.7575,77.25,100,40,3.44,moderate rain
221,Vila Velha,BR,-20.3297,-40.2925,80.55,64,0,16.11,clear sky
222,Fiumicino,IT,41.7675,12.2291,60.91,45,0,19.57,clear sky
223,Lagoa,PT,39.05,-27.9833,57.31,68,16,14.7,few clouds
224,Bud,US,39.447,-86.1758,50.92,50,100,10.78,overcast clouds
225,Ostrovnoy,RU,68.0531,39.5131,33.64,91,100,15.99,overcast clouds
226,Fortuna,US,40.5982,-124.1573,54.93,69,20,5.01,few clouds
227,Severo-Kurilsk,RU,50.6789,156.125,28.74,80,73,9.55,broken clouds
228,Valera,VE,9.3178,-70.6036,77.54,82,100,1.95,overcast clouds
229,Beringovskiy,RU,63.05,179.3167,29.37,97,100,14.03,snow
230,Razgrad,BG,43.5333,26.5167,37.4,99,100,8.21,overcast clouds
231,Caravelas,BR,-17.7125,-39.2481,76.59,71,100,10.8,overcast clouds
232,Hasaki,JP,35.7333,140.8333,50.4,68,67,8.57,broken clouds
233,Mana,GF,5.6592,-53.7767,81.54,74,29,10.74,scattered clouds
234,Santiago Del Estero,AR,-27.7951,-64.2615,77.52,37,0,4.79,clear sky
235,Luderitz,NA,-26.6481,15.1594,66.45,60,0,9.13,clear sky
236,Yulara,AU,-25.2406,130.9889,62.44,48,0,5.75,clear sky
237,Banjar,ID,-8.19,114.9675,78.17,90,100,3.09,overcast clouds
238,Guerrero Negro,MX,27.9769,-114.0611,68.92,56,58,19.26,broken clouds
239,Naryan-Mar,RU,67.6713,53.087,32.79,99,100,9.73,overcast clouds
240,Baglung,NP,28.2719,83.5898,67.06,31,3,6.82,clear sky
241,Lazaro Cardenas,MX,17.9583,-102.2,83.82,53,100,10.18,overcast clouds
242,Saint-Sauveur-Des-Monts,CA,45.9001,-74.1659,42.28,72,100,15.08,overcast clouds
243,Ahuimanu,US,21.4447,-157.8378,78.51,74,20,12.66,few clouds
244,Cozumel,MX,20.5083,-86.9458,86.07,79,40,11.5,scattered clouds
245,Mayo,US,38.8876,-76.5119,58.24,38,0,16.11,clear sky
246,Patu,BR,-6.11,-37.6367,85.46,59,97,12.08,overcast clouds
247,Steamboat Springs,US,40.485,-106.8317,40.33,88,100,10.0,overcast clouds
248,Santo Augusto,BR,-27.8508,-53.7772,70.86,50,6,2.26,clear sky
249,Berlevag,NO,70.8578,29.0864,41.0,93,100,18.41,light rain
250,Brunsbuttel,DE,53.9,9.15,54.12,68,0,8.28,clear sky
251,Camocim,BR,-2.9022,-40.8411,81.54,84,97,8.34,moderate rain
252,Hajnowka,PL,52.7433,23.5812,43.02,59,100,1.01,overcast clouds
253,Dabou,CI,5.3256,-4.3769,77.79,89,100,7.74,overcast clouds
254,Berbera,SO,10.4396,45.0143,81.97,86,9,5.17,clear sky
255,Salalah,OM,17.0151,54.0924,82.49,89,40,4.61,scattered clouds
256,Egvekinot,RU,66.3167,-179.1667,23.31,90,99,10.85,light snow
257,Fallon,US,39.4735,-118.7774,60.46,28,20,0.0,few clouds
258,Parabel,RU,58.6978,81.4825,31.66,87,74,9.69,broken clouds
259,Belyy Yar,RU,53.6039,91.3903,49.89,55,0,2.24,clear sky
260,Barsovo,RU,61.1667,73.1667,17.73,96,100,2.91,overcast clouds
261,Srednekolymsk,RU,67.45,153.6833,5.16,97,99,5.5,overcast clouds
262,Sabha,LY,27.0377,14.4283,69.12,29,94,9.91,overcast clouds
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,100,100,14.97,overcast clouds
264,Bilma,NE,18.6853,12.9164,86.92,9,21,6.62,few clouds
265,Kahului,US,20.8947,-156.47,77.02,72,20,13.8,few clouds
266,Gladstone,AU,-23.85,151.25,62.53,77,0,3.44,clear sky
267,Eureka,US,40.8021,-124.1637,55.2,65,100,5.01,overcast clouds
268,Machiques,VE,10.0644,-72.545,85.23,61,80,11.54,broken clouds
269,Douentza,ML,14.9951,-2.9517,87.08,11,20,10.13,few clouds
270,Nantucket,US,41.2835,-70.0995,51.91,59,0,20.71,clear sky
271,Severnyy-Kospashskiy,RU,59.0925,57.8008,20.61,54,14,2.33,few clouds
272,Ixtapa,MX,20.7,-105.2,81.63,39,40,9.22,scattered clouds
273,Kirakira,SB,-10.4544,161.9205,79.21,82,100,6.93,light rain
274,Sioux Lookout,CA,50.1001,-91.917,28.47,50,100,3.44,overcast clouds
275,Jinchang,CN,38.4953,102.1739,42.62,30,100,3.27,overcast clouds
276,Klaksvik,FO,62.2266,-6.589,49.12,94,100,11.68,overcast clouds
277,Novichikha,RU,52.204,81.3877,55.42,46,60,2.3,broken clouds
278,Necochea,AR,-38.5473,-58.7368,69.28,53,53,8.12,broken clouds
279,Nemuro,JP,43.3236,145.575,38.97,89,43,7.14,scattered clouds
280,Harper,LR,4.375,-7.7169,77.65,84,100,2.59,overcast clouds
281,Marsabit,KE,2.3284,37.9899,73.15,51,100,7.11,overcast clouds
282,Palencia,ES,42.4167,-4.5,51.4,53,100,14.07,overcast clouds
283,Umm Lajj,SA,25.0213,37.2685,83.21,39,100,4.56,overcast clouds
284,Coquimbo,CL,-29.9533,-71.3436,62.15,74,4,11.1,clear sky
285,Mafinga,TZ,-7.25,35.0667,68.67,81,84,2.53,broken clouds
286,Nevelsk,RU,46.6733,141.8633,37.08,82,60,4.52,broken clouds
287,Yamada,JP,39.4667,141.95,44.28,81,2,4.7,clear sky
288,Lumphat,KH,13.4878,106.9816,74.86,84,95,6.15,overcast clouds
289,Qaqortoq,GL,60.7167,-46.0333,31.62,80,100,3.62,overcast clouds
290,Cogtong,PH,9.8374,124.5291,78.73,84,91,7.4,overcast clouds
291,Rosemount,US,44.7394,-93.1258,46.54,44,40,12.66,scattered clouds
292,Katsuura,JP,35.1333,140.3,58.93,72,91,7.05,overcast clouds
293,Benghazi,LY,32.1167,20.0667,62.38,83,22,11.95,few clouds
294,Baisha,CN,26.5222,110.9311,50.99,98,100,3.15,overcast clouds
295,Mount Pleasant,US,32.7941,-79.8626,84.18,79,0,10.36,clear sky
296,Capitao Poco,BR,-1.7464,-47.0594,80.15,90,100,4.9,light rain
297,Bathsheba,BB,13.2167,-59.5167,84.81,61,75,21.85,broken clouds
298,Darhan,MN,49.4867,105.9228,46.26,37,74,9.19,broken clouds
299,Columbia,US,34.0007,-81.0348,83.79,47,0,6.91,clear sky
300,Lahij,YE,13.1667,44.5833,83.21,45,52,1.16,broken clouds
301,Kruisfontein,ZA,-34.0033,24.7314,60.89,90,0,3.65,clear sky
302,Salina,US,38.8403,-97.6114,50.13,57,0,11.5,clear sky
303,Guanica,PR,17.9716,-66.908,88.21,67,9,20.36,clear sky
304,Rio Tercero,AR,-32.173,-64.1141,76.44,29,0,9.15,clear sky
305,Laguna,US,38.421,-121.4238,67.78,53,0,6.91,clear sky
306,Ewa Beach,US,21.3156,-158.0072,78.75,71,0,12.66,clear sky
307,Beloha,MG,-25.1667,45.05,73.69,85,51,13.22,broken clouds
308,Sur,OM,22.5667,59.5289,87.58,44,4,11.79,clear sky
309,Coahuayana,MX,18.7333,-103.6833,89.91,50,79,8.84,broken clouds
310,Huarmey,PE,-10.0681,-78.1522,72.84,71,3,11.81,clear sky
311,Nabire,ID,-3.3667,135.4833,75.88,91,95,2.17,moderate rain
312,Orsk,RU,51.2049,58.5668,49.1,49,0,4.47,clear sky
313,Tura,IN,25.5198,90.2201,71.94,72,0,9.89,clear sky
314,Carnarvon,AU,-24.8667,113.6333,68.07,83,100,12.66,overcast clouds
315,Roald,NO,62.5833,6.1333,52.72,71,40,3.44,scattered clouds
316,Pisco,PE,-13.7,-76.2167,70.02,77,0,12.66,clear sky
317,Dongying,CN,37.4564,118.4856,59.09,29,100,3.85,overcast clouds
318,Safakulevo,RU,54.9901,62.5442,39.11,67,66,6.85,broken clouds
319,Xingyi,CN,24.1877,102.817,57.16,93,100,4.25,overcast clouds
320,Alyangula,AU,-13.8483,136.4192,73.27,100,100,3.44,overcast clouds
321,Poum,NC,-20.2333,164.0167,77.88,66,60,7.0,broken clouds
322,Trelew,AR,-43.249,-65.3051,69.49,47,3,24.83,clear sky
323,Ishigaki,JP,24.3448,124.1572,69.93,83,75,1.14,broken clouds
324,Hlobyne,UA,49.3878,33.2596,39.33,78,100,5.21,overcast clouds
325,Chlorakas,CY,34.8042,32.4083,79.68,13,0,12.66,clear sky
326,Shimoda,JP,34.6667,138.95,54.1,81,100,5.77,overcast clouds
327,Kaeo,NZ,-35.1,173.7833,66.33,97,100,17.05,moderate rain
328,Casper,US,42.8666,-106.3131,47.71,41,20,19.57,few clouds
329,Ibiruba,BR,-28.6275,-53.0897,72.01,50,61,1.1,broken clouds
330,Nyurba,RU,63.2842,118.3319,33.58,98,100,9.91,light snow
331,Kuruman,ZA,-27.4524,23.4325,61.23,66,4,4.94,clear sky
332,Dalbandin,PK,28.8947,64.4101,82.6,22,58,21.72,broken clouds
333,Nara,JP,34.6851,135.8049,56.52,70,86,3.27,overcast clouds
334,Oum Hadjer,TD,13.2954,19.6966,95.22,28,100,5.86,overcast clouds
335,Nsanje,MW,-16.92,35.262,73.94,90,82,3.22,broken clouds
336,Broome,US,42.2506,-75.833,43.14,56,100,13.8,overcast clouds
337,Qujing,CN,25.4833,103.7833,52.11,87,100,5.59,overcast clouds
338,Hrinova,SK,48.5779,19.5257,36.3,64,78,1.83,broken clouds
339,Pacific Grove,US,36.6177,-121.9166,61.56,76,0,8.01,clear sky
340,Saint George,US,37.1041,-113.5841,76.62,19,0,3.44,clear sky
341,Kolpashevo,RU,58.3131,82.9089,34.57,84,99,9.66,overcast clouds
342,Wanning,CN,18.8003,110.3967,75.67,89,59,5.86,broken clouds
343,Sembakung,ID,3.8167,117.25,73.27,99,86,2.04,overcast clouds
344,Shelburne,CA,44.0787,-80.2041,41.9,46,4,10.09,clear sky
345,Darnah,LY,32.767,22.6367,62.19,66,0,11.7,clear sky
346,Baker City,US,44.7749,-117.8344,41.59,59,40,11.5,scattered clouds
347,Marawi,PH,7.9986,124.2928,68.49,97,62,1.36,broken clouds
